area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count
2464.0,Apartment,Residential,4.0,3.0,28900000.0,Sale,Dhaka,Dhanmondi,0,2,0,0,3,0,4
1920.0,Apartment,Residential,3.0,3.0,20000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
1445.0,Apartment,Residential,3.0,3.0,10800000.0,Sale,Dhaka,Banasree,0,0,2,0,1,0,4
2468.0,Apartment,Residential,3.0,3.0,36500000.0,Sale,Dhaka,Banani,0,2,2,0,4,0,4
1475.0,Apartment,Residential,3.0,3.0,10500000.0,Sale,Dhaka,Uttara,0,2,3,0,3,0,4
1066.0,Apartment,Residential,2.0,3.0,8000000.0,Sale,Dhaka,Sutrapur,0,1,2,1,4,0,4
950.0,Apartment,Residential,2.0,2.0,5000000.0,Sale,Dhaka,Mirpur,0,1,2,0,5,0,3
1075.0,Apartment,Residential,3.0,3.0,5700000.0,Sale,Dhaka,Badda,0,0,0,0,0,0,0
1600.0,Apartment,Residential,3.0,3.0,13100000.0,Sale,Dhaka,Rampura,0,0,2,0,2,0,3
750.0,Apartment,Residential,2.0,3.0,4900000.0,Sale,Dhaka,Mirpur,0,0,2,0,4,0,4
1522.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1150.0,Apartment,Residential,3.0,3.0,8600000.0,Sale,Dhaka,Rampura,0,1,1,0,3,0,4
1735.0,Apartment,Residential,3.0,3.0,12500000.0,Sale,Dhaka,Mohammadpur,0,1,1,1,3,0,4
1002.0,Apartment,Residential,2.0,2.0,6800000.0,Sale,Dhaka,Rampura,0,2,2,0,2,0,3
2190.0,Apartment,Residential,3.0,3.0,28000000.0,Sale,Dhaka,Uttara,0,1,1,0,1,0,3
1700.0,Apartment,Residential,4.0,4.0,10000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
2000.0,Apartment,Residential,3.0,3.0,22500000.0,Sale,Dhaka,Bashundhara R-A,0,2,2,0,4,0,4
1368.0,Apartment,Residential,3.0,3.0,12000000.0,Sale,Dhaka,Shyamoli,0,1,2,0,5,0,3
2318.0,Apartment,Residential,4.0,4.0,21000000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
1735.0,Apartment,Residential,3.0,4.0,13799999.999999998,Sale,Dhaka,Banasree,0,2,3,0,5,0,3
1550.0,Apartment,Residential,3.0,3.0,12200000.0,Sale,Dhaka,Aftab Nagar,0,0,1,0,3,0,3
1550.0,Apartment,Residential,3.0,3.0,12200000.0,Sale,Dhaka,Aftab Nagar,0,0,1,0,3,0,3
1627.0,Apartment,Residential,3.0,3.0,17400000.0,Sale,Dhaka,Uttara,0,1,1,0,1,0,3
1150.0,Apartment,Residential,3.0,3.0,8900000.0,Sale,Dhaka,Rampura,0,2,2,0,4,0,3
1522.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1120.0,Apartment,Residential,3.0,3.0,6200000.0,Sale,Dhaka,Mohammadpur,0,2,1,0,3,0,3
2215.0,Apartment,Residential,4.0,3.0,22000000.0,Sale,Dhaka,Bashundhara R-A,0,2,2,0,3,0,4
